country,region,population,area,pop_density,coastline,net_migraton,infant_mortality,gdp,literacy,phone_per_thousand,arable,crops,other,climate,birthrate,deathrate,agriculture,industry,service
Anguilla ,LATIN AMER. & CARIB    ,13477,102,1321,5980,1076,2103,8600,950,4600,0,0,100,2,1417,534,4,18,78
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,443,1560,3454,-615,1946,11000,890,5499,1818,455,7727,2,1693,537,38,22,743
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,144,18,61,1518,11200,971,2204,1231,48,8721,3,1673,755,95,358,547
Aruba ,LATIN AMER. & CARIB    ,71891,193,3725,3549,0,589,28000,970,5161,1053,0,8947,2,1103,668,4,333,663
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,13940,218,2541,-22,2521,16700,956,4606,8,4,988,2,1757,905,3,7,9
Barbados ,LATIN AMER. & CARIB    ,279912,431,6495,2251,-31,125,15700,974,4819,3721,233,6046,2,1271,867,6,16,78
Belize ,LATIN AMER. & CARIB    ,287730,22966,125,168,0,2569,4900,941,1157,285,171,9544,2,2884,572,142,152,612
Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580,82,0,-132,5311,2400,872,719,267,19,9714,15,233,753,128,352,52
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,221,9,-3,2961,7600,864,2253,696,9,9215,2,1656,617,84,4,516
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,153,1510,5229,1001,1805,16000,978,5065,20,667,7333,2,1489,442,18,62,92
Cayman Islands ,LATIN AMER. & CARIB    ,45436,262,1734,6107,1875,819,35000,980,8363,385,0,9615,2,1274,489,14,32,954
Chile ,LATIN AMER. & CARIB    ,16134219,756950,213,85,0,88,9900,962,2130,265,42,9693,3,1523,581,6,493,447
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,383,28,-31,2097,6300,925,1762,242,167,9591,2,2048,558,125,342,533
Costa Rica ,LATIN AMER. & CARIB    ,4075261,51100,798,252,51,995,9100,960,3407,441,588,8971,2,1832,436,88,299,614
Cuba ,LATIN AMER. & CARIB    ,11382820,110860,1027,337,-158,633,2900,970,747,3305,76,5935,2,1189,722,55,261,684
Dominica ,LATIN AMER. & CARIB    ,68910,754,914,1963,-1387,1415,5400,940,3048,667,20,7333,2,1527,673,177,328,495
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,48730,1885,264,-322,3238,6000,847,974,2265,1033,6702,2,2322,573,112,306,582
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,478,79,-858,2366,3300,925,1256,585,493,8922,2,2229,423,7,312,618
El Salvador ,LATIN AMER. & CARIB    ,6822378,21040,3243,146,-374,251,4800,802,1424,3185,1207,5608,2,2661,578,99,302,599
French Guiana ,LATIN AMER. & CARIB    ,199509,91000,22,42,627,1207,8300,830,2556,14,5,9981,2,2046,488,66,156,778
Grenada ,LATIN AMER. & CARIB    ,89703,344,2608,3517,-1392,1462,5000,980,3645,588,2941,6471,2,2208,688,54,18,766
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,2544,1719,-15,86,8000,900,4638,1124,355,8521,2,1505,609,15,17,68
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,1129,37,-167,3593,4100,706,921,1254,503,8243,2,2988,52,227,188,585
Guyana ,LATIN AMER. & CARIB    ,767245,214970,36,21,-207,3326,4000,988,1435,244,15,9741,2,1828,828,37,203,427
Haiti ,LATIN AMER. & CARIB    ,8308504,27750,2994,638,-34,7345,1600,529,169,283,1161,6009,2,3644,1217,28,2,52
Honduras ,LATIN AMER. & CARIB    ,7326496,112090,654,73,-199,2932,2600,762,675,955,322,8723,2,2824,528,139,312,549
Jamaica ,LATIN AMER. & CARIB    ,2758124,10991,2509,930,-492,1236,3900,879,1240,1607,1016,7377,2,2082,652,49,337,615
Martinique ,LATIN AMER. & CARIB    ,436131,1100,3965,3182,-5,709,14400,977,3944,1038,943,8019,2,1374,648,6,11,83
Mexico ,LATIN AMER. & CARIB    ,107449525,1972550,545,47,-487,2091,9000,922,1816,1299,131,857,15,2069,474,38,259,702
Montserrat ,LATIN AMER. & CARIB    ,9439,102,925,3922,0,735,3400,970,,20,0,80,2,1759,71,,,
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960,2310,3792,-41,1003,11400,967,3653,10,0,90,2,1478,645,1,15,84
Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494,430,70,-122,2911,2300,675,397,1594,194,8212,2,2451,445,165,275,56
Panama ,LATIN AMER. & CARIB    ,3191319,78200,408,318,-91,2047,6300,926,1379,736,198,9066,2,2174,536,68,156,776
Paraguay ,LATIN AMER. & CARIB    ,6506464,406750,160,0,-8,2563,4700,940,492,76,23,9217,2,291,449,224,207,569
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,220,19,-105,3194,5100,909,795,289,4,9671,15,2048,623,8,27,65
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790,2848,363,-146,824,16800,941,2831,395,552,9053,2,1277,765,1,45,54
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,1499,5172,-711,1449,8800,970,6389,1944,278,7778,2,1802,833,35,258,707
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,2735,2565,-267,1353,5400,670,3033,656,2295,7049,2,1968,508,7,2,73
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,3030,2159,-764,1478,2900,960,1909,1795,1795,641,2,1618,598,1,26,64
Suriname ,LATIN AMER. & CARIB    ,439117,163270,27,24,-881,2357,4000,930,1847,37,6,9957,2,1802,727,13,22,65
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,2079,706,-1083,2431,9500,986,3035,1462,916,7622,2,129,1057,7,57,423
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,492,9047,1168,1567,9600,980,2695,233,0,9767,2,2184,421,,,
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,195,37,-32,1195,12800,980,2914,743,23,9234,3,1391,905,93,311,596
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,282,31,-4,222,4800,934,1401,295,92,9613,2,1871,492,4,419,541
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,569,984,-894,803,17200,0,6528,1176,294,853,2,1396,643,1,19,8
